Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Associação de Radioamadores do Ribatejo,Portugal Continental,Estação repetidora de modulação analógica,CQ0VMO,"144 - 146 MHz
","145,7500 MHz
","145,1500 MHz
",RV60,"74,4 Hz",IM59LE,"39º 10' 29"" ,420 N","09º 03' 36"" ,620 W"
Associação de Radioamadores do Ribatejo,Portugal Continental,Estação repetidora de modulação analógica,CQ0UTR,"430 - 440 MHz
","439,1750 MHz
","431,5750 MHz
",RU734,"131,8 Hz",IM59UO,"39º 36' 38"" ,810 N","08º 18' 47"" ,210 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VB,"144 - 146 MHz
","145,6250 MHz
","145,0250 MHz
",RV50,"88,5 Hz",HM77GS,"37º 45' 41"" ,891 N","25º 29' 35"" ,476 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1USC,"430 - 440 MHz
","438,7750 MHz
","431,1750 MHz
",RU702,"88,5 Hz",HM77CT,"37º 49' 09"" ,060 N","25º 45' 05"" ,430 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VSC,"144 - 146 MHz
","145,7750 MHz
","145,1750 MHz
",RV62,"88,5 Hz",HM77CT,"37º 49' 09"" ,060 N","25º 45' 05"" ,430 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UPB,"430 - 440 MHz
","438,7500 MHz
","431,1500 MHz
",RU700,"88,5 Hz",HM77JS,"37º 46' 42"" ,142 N","25º 10' 35"" ,476 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VPB,"144 - 146 MHz
","145,7500 MHz
","145,1500 MHz
",RV60,"88,5 Hz",HM77JS,"37º 46' 42"" ,142 N","25º 10' 35"" ,476 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UPDL,"430 - 440 MHz
","438,9000 MHz
","431,3000 MHz
",RU712,"88,5 Hz",HM77ER,"37º 44' 33"" ,323 N","25º 39' 16"" ,436 W"
Associação de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UB,"430 - 440 MHz
","438,8250 MHz
","431,2250 MHz
",RU706,"88,5 Hz",HM77GS,"37º 45' 41"" ,891 N","25º 29' 35"" ,476 W"
Associação de Radioamadores entre Tâmega e Douro,Portugal Continental,Estação repetidora de modulação analógica,CQ0URTD,"430 - 440 MHz
","438,7000 MHz
","431,1000 MHz
",RU696,123 Hz,IN51XF,"41º 13' 23"" ,260 N","08º 01' 32"" ,260 W"
Associação dos Radioamadores da Praia da Vitória,R.A. Açores,Estação repetidora de modulação analógica,CQ1VSS,"144 - 146 MHz
","145,6625 MHz
","145,0625 MHz
",RV53,"82,5 Hz",HM68LR,"38º 44' 01"" ,510 N","27º 03' 14"" ,240 W"
Azores DX Group,R.A. Açores,Estação repetidora de modulação analógica,CQ1UDX,"430 - 440 MHz
","438,6750 MHz
","431,0750 MHz
",RU694,67 Hz,HM68IR,"38º 43' 47"" ,720 N","27º 19' 05"" ,100 W"
Azores DX Group,R.A. Açores,Estação repetidora de modulação analógica,CQ1VDX,"144 - 146 MHz
","145,7375 MHz
","145,1375 MHz
",RV59,"114,8 Hz",HM68IR,"38º 43' 47"" ,720 N","27º 19' 05"" ,100 W"
Azores DX Team,R.A. Açores,Estação repetidora de modulação analógica,CQ1UF,"430 - 440 MHz
","438,8000 MHz
","431,2000 MHz
",RU704,123 Hz,HM58PN,"38º 34' 32"" ,000 N","28º 42' 46"" ,000 W"
Clube de Radioamadores do Entroncamento,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAI,"430 - 440 MHz
","438,8750 MHz
","431,2750 MHz
",RU710,"131,8 Hz",IM59QM,"39º 32' 09"" ,340 N","08º 38' 11"" ,080 W"
Clube de Radioamadores do Entroncamento,Portugal Continental,Estação repetidora de modulação analógica,CQ0VENT,"144 - 146 MHz
","145,6875 MHz
","145,0875 MHz
",RV55,"74,4 Hz",IM59SL,"39º 28' 52"" ,940 N","08º 29' 07"" ,500 W"
Clube de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VPM,"144 - 146 MHz
","145,6750 MHz
","145,0750 MHz
",RV54,"88,5 Hz",HM58VR,"38º 42' 34"" ,000 N","28º 12' 04"" ,000 W"
Clube de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VF,"144 - 146 MHz
","145,6000 MHz
","145,0000 MHz
",RV48,123 Hz,HM58PN,"38º 34' 32"" ,919 N","28º 42' 48"" ,525 W"
Clube de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VPV,"144 - 146 MHz
","145,7750 MHz
","145,1750 MHz
",RV62,123 Hz,HM58OO,"38º 35' 30"" ,000 N","28º 47' 51"" ,000 W"
Grupo de Radioamadores do Pico,R.A. Açores,Estação repetidora de modulação analógica,CQ1VP,"144 - 146 MHz
","145,6500 MHz
","145,0500 MHz
",RV52,"88,5 Hz",HM58VJ,"38º 24' 04"" ,673 N","28º 14' 03"" ,296 W"
Liga Amadores Rádio Sintra,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSI,"144 - 146 MHz
","145,7125 MHz
","145,1125 MHz
",RV57,"74,4 Hz",IM58HS,"38º 47' 10"" ,800 N","09º 23' 06"" ,600 W"
Liga Amadores Rádio Sintra,Portugal Continental,Estação repetidora de modulação analógica,CQ0USI,"430 - 440 MHz
","439,1250 MHz
","431,5250 MHz
",RU730,"74,4 Hz",IM58HS,"38º 47' 10"" ,800 N","09º 23' 06"" ,600 W"
Liga de Amadores de Rádio Transmissões,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMJ,"430 - 440 MHz
","439,3500 MHz
","431,7500 MHz
",RU748,"74,4 Hz",IM59LE,"39º 10' 25"" ,140 N","09º 03' 03"" ,660 W"
Liga de Amadores de Rádio Transmissões,Portugal Continental,Estação repetidora de modulação analógica,CQ0UARS,"430 - 440 MHz
","439,1000 MHz
","431,5000 MHz
",RU728,123 Hz,IN50ts,"40º 46' 43"" ,100 N","08º 21' 29"" ,700 W"
